나라,도시,Latitude,Longitude,icon
이집트,다합,28.5091355,34.5136344,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이집트,카이로,30.0444196,31.2357116,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이집트,룩소르,25.6872431,32.6396357,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이집트,후르가다,27.2578957,33.8116067,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이집트,아스완,24.088938,32.8998293,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이집트,알렉산드리아,31.2000924,29.9187387,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이탈리아,베네치아,45.4408474,12.3155151,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이탈리아,토리노,45.0703393,7.686864,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이탈리아,시에나,43.318809,11.3307574,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이탈리아,포시타노,40.6280528,14.4849812,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이탈리아,루가노,46.0036778,8.951052,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
인도네시아,코모도섬,-8.5850461,119.4411476,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
인도네시아,발리,-8.3405389,115.0919509,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
인도네시아,길리섬,-8.351844021,116.0561632,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
인도네시아,자카르타,-6.2087634,106.845599,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
일본,삿포로,43.0617713,141.3544506,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
일본,교토,35.011564,135.7681489,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
일본,나고야,35.1814506,136.9065571,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
일본,나라,34.685109,135.8048019,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
일본,요코하마,35.4436739,139.6379639,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
일본,나가사키,32.7503334,129.8778888,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
잠비아,리빙스톤,-17.8519791,25.8285153,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
조지아,트빌리시,41.6938026,44.8015168,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
지브롤터,지브롤터,36.140751,-5.353585,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
체코,체스키크룸로프,48.8127354,14.3174657,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
체코,쿠트나호라,49.9524314,15.2686536,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
칠레,발파라조,-33.047238,-71.6126885,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
칠레,산페드로데아타카마,-22.9087073,-68.1997156,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
카보베르데,프라이아,14.93305,-23.5133267,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
카자흐스탄,알마티,43.2379761,76.8828618,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
카자흐스탄,아스타나,51.1655126,71.4272222,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
카자흐스탄,악토베,50.2839339,57.166978,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
카자흐스탄,아티라우,47.0944959,51.9238373,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
카자흐스탄,외스케멘,49.9749295,82.6017244,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
캄보디아,프놈펜,11.5563738,104.9282099,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
캄보디아,시아누크빌,10.6267867,103.5115545,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
캐나다,벤쿠버,49.2827291,-123.1207375,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
캐나다,캘거리,51.0447331,-114.0718831,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
캐나다,오타와,45.4215296,-75.6971931,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
캐나다,퀘벡,46.8130816,-71.2074596,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
캐나다,화이트호스,60.7197137,-135.0522761,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
캐나다,옐로나이프,62.4539717,-114.3717886,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
캐나다,밴프 국립 공원,51.4968464,-115.9280561,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
캐나다,나이아가라 폭포,43.0828162,-79.0741629,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
캐나다,야스퍼 국립 공원,52.8694052,-118.0759927,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
코소보,페치,46.0727345,18.232266,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
코소보,페리자이,42.3701844,21.1483281,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
코스타리카,산호세,37.33874,-121.8852525,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
코스타리카,라 포르투나,40.3580663,-3.7777452,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
콜롬비아,보고타,4.7109886,-74.072092,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
콜롬비아,메데인,6.2476376,-75.5658153,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
쿠바,하바나,23.1135925,-82.3665956,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
